trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-126.20257445284791,"{0: 9, 1: 7, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,10,-18.976831788802176,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-71.28307387223708,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-110.34468317816854,"{0: 18, 1: 5, 2: 3, 3: 4, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-63.19411068996451,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-190.5755087144227,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-73.95489755491892,"{0: 9, 1: 7, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-81.16781147230812,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-91.92548390791643,"{0: 18, 1: 5, 2: 6, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-67.22927446449044,"{0: 15, 1: 5, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-75.04809488720379,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-88.88995686466251,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,2,-66.27430438515267,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-181.85689331494558,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-216.1616918469523,"{0: 10, 1: 2, 2: 8, 3: 3, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-108.12247100605802,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-86.35010808882595,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-91.63168915091241,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-58.00938972552287,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-235.08864425061745,"{0: 15, 1: 2, 2: 8, 3: 2, 4: 3}",0
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-82.91726476779309,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-164.63602044577726,"{0: 9, 1: 6, 2: 7, 3: 2, 4: 1}",0
3,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-96.45457786489129,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-100.6266447220563,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,15,2.1251890101097306,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-36.496309030963495,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-67.97973131527495,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-143.07684215161652,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-148.60932676620908,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-44.164563494629476,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
