trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",25,4,-45.07574570921148,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 0}",1
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",25,0,-199.33998961142586,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",25,0,-54.832678977839024,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-49.7980388235388,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",25,0,-183.777058784231,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,0,-208.5209789756148,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-73.63515692005348,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-152.0409983517071,"{0: 14, 1: 1, 2: 5, 3: 4, 4: 1}",1
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",30,1,-227.51311560871252,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 4}",1
10,False,"{'a': 0.01, 'e': 0.9950041652780257}",25,0,-91.34481610477764,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,1,-79.28906249636486,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-123.00545787849042,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",25,0,-165.11176155913097,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-105.56459989301385,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",30,0,-152.01657608280803,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,0,-90.21983113739722,"{0: 15, 1: 7, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,0,-130.11469736786077,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-134.8195577491626,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",30,0,-126.12022166664393,"{0: 20, 1: 6, 2: 1, 3: 1, 4: 2}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",30,0,-129.0203326352253,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,0,-144.15520832968429,"{0: 8, 1: 3, 2: 6, 3: 2, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-35.94613566025971,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-174.46601270461474,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,11,-109.14172850473008,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 2}",1
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-57.53766961182069,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",30,0,-82.42561690455753,"{0: 21, 1: 5, 2: 2, 3: 1, 4: 1}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,4,-126.89051143316489,"{0: 7, 1: 3, 2: 4, 3: 0, 4: 2}",1
