trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.68187703096734,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-273.2882743207872,"{0: 11, 1: 8, 2: 6, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-178.82177099526447,"{0: 9, 1: 2, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-191.58393155616523,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.89434639762233,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",35,0,-137.9014370934213,"{0: 19, 1: 6, 2: 9, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.24689734635157,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.90811032574703,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,3,-74.42136434842456,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 1.0}",35,0,-199.6575853873743,"{0: 19, 1: 6, 2: 5, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,3,-127.09870241709132,"{0: 8, 1: 1, 2: 5, 3: 2, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-137.88572988025737,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,6,-25.364335599405816,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.39187286687287,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-48.562109538281604,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.28321285576796,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.45233035663549,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-16.721671357416298,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,14,-79.09999100287695,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 2}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.69324453589246,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,11,-127.46532232918982,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 1}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.32691893906052,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-183.5360424335227,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.05513973472233,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.88168538790421,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-92.43382614780225,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-117.96823233710562,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
